5793,23/08/2023,"['8', '7', '7', '5']","['7', '4', '5', '4']","['9', '8', '7', '3']","['9', '3', '1', '4']","['2', '0', '9', '3']"
5792,19/08/2023,"['2', '5', '9', '3']","['1', '5', '7', '9']","['8', '8', '9', '3']","['7', '6', '8', '2']","['4', '3', '8', '3']"
5791,16/08/2023,"['7', '4', '1', '3']","['3', '8', '5', '2']","['7', '6', '7', '6']","['1', '6', '8', '6']","['8', '8', '9', '7']"
5790,12/08/2023,"['3', '4', '4', '3']","['4', '2', '5', '1']","['8', '9', '7', '3']","['0', '9', '3', '8']","['2', '5', '7', '5']"
5789,09/08/2023,"['7', '2', '6', '3']","['8', '3', '8', '1']","['1', '6', '8', '7']","['7', '4', '3', '4']","['5', '5', '0', '0']"
5788,05/08/2023,"['3', '1', '0', '4']","['7', '4', '6', '6']","['0', '1', '6', '1']","['1', '2', '5', '5']","['3', '6', '7', '5']"
5787,02/08/2023,"['9', '2', '5', '8']","['4', '2', '6', '6']","['9', '7', '1', '3']","['8', '0', '3', '7']","['8', '2', '6', '7']"
5786,29/07/2023,"['0', '7', '7', '8']","['3', '5', '6', '4']","['9', '3', '7', '1']","['2', '7', '7', '9']","['1', '5', '8', '6']"
5785,26/07/2023,"['1', '8', '5', '5']","['3', '8', '4', '4']","['6', '3', '6', '9']","['7', '0', '3', '2']","['2', '8', '1', '1']"
5784,22/07/2023,"['6', '0', '3', '4']","['3', '9', '2', '1']","['0', '0', '4', '4']","['6', '1', '3', '3']","['4', '8', '5', '6']"
5783,19/07/2023,"['1', '7', '1', '2']","['1', '2', '5', '8']","['3', '3', '9', '9']","['0', '2', '4', '3']","['0', '1', '7', '6']"
5782,15/07/2023,"['2', '5', '4', '2']","['0', '1', '7', '3']","['5', '4', '7', '9']","['2', '5', '5', '0']","['4', '3', '5', '3']"
5781,12/07/2023,"['5', '3', '0', '3']","['7', '4', '9', '1']","['3', '3', '4', '5']","['6', '1', '8', '3']","['7', '3', '4', '9']"
5780,08/07/2023,"['1', '1', '2', '0']","['3', '3', '9', '3']","['9', '5', '1', '4']","['7', '4', '1', '3']","['7', '0', '6', '9']"
5779,05/07/2023,"['8', '8', '6', '6']","['5', '7', '4', '6']","['3', '1', '4', '4']","['0', '1', '8', '6']","['2', '7', '9', '2']"
5778,01/07/2023,"['9', '1', '0', '5']","['0', '5', '9', '9']","['5', '5', '2', '4']","['3', '5', '6', '8']","['3', '7', '3', '8']"
5777,28/06/2023,"['5', '5', '5', '4']","['8', '8', '2', '8']","['0', '7', '9', '0']","['2', '5', '6', '2']","['0', '4', '4', '5']"
5776,24/06/2023,"['1', '3', '9', '9']","['2', '7', '6', '3']","['4', '4', '8', '9']","['1', '6', '0', '6']","['0', '8', '1', '4']"
5775,21/06/2023,"['7', '6', '6', '6']","['0', '0', '6', '4']","['8', '3', '3', '6']","['3', '0', '4', '6']","['5', '2', '3', '5']"
5774,17/06/2023,"['7', '1', '2', '9']","['4', '8', '9', '9']","['1', '1', '9', '0']","['2', '6', '3', '9']","['6', '1', '7', '7']"
5773,14/06/2023,"['9', '0', '8', '4']","['9', '5', '2', '7']","['6', '2', '0', '4']","['7', '3', '0', '9']","['6', '9', '9', '2']"
5772,10/06/2023,"['8', '9', '6', '3']","['1', '3', '2', '8']","['0', '9', '9', '9']","['7', '7', '7', '7']","['3', '8', '4', '4']"
5771,07/06/2023,"['6', '3', '3', '7']","['0', '1', '7', '5']","['9', '6', '5', '5']","['9', '3', '9', '5']","['6', '9', '9', '8']"
5770,03/06/2023,"['7', '0', '8', '5']","['2', '7', '2', '1']","['4', '8', '4', '1']","['3', '0', '8', '0']","['3', '8', '8', '9']"
5769,31/05/2023,"['0', '8', '8', '4']","['5', '1', '8', '1']","['0', '8', '7', '5']","['5', '5', '0', '2']","['6', '7', '6', '7']"
5768,27/05/2023,"['9', '7', '6', '6']","['1', '7', '9', '3']","['4', '0', '4', '8']","['3', '6', '5', '2']","['1', '6', '8', '9']"
5767,24/05/2023,"['4', '4', '7', '5']","['4', '5', '2', '8']","['0', '1', '3', '6']","['7', '2', '8', '7']","['7', '7', '1', '5']"
5766,20/05/2023,"['2', '9', '5', '5']","['7', '8', '9', '4']","['5', '4', '4', '5']","['4', '6', '6', '7']","['8', '9', '0', '9']"
5765,17/05/2023,"['3', '7', '7', '0']","['3', '5', '1', '1']","['6', '6', '1', '0']","['3', '9', '0', '2']","['8', '4', '1', '0']"
5764,13/05/2023,"['5', '5', '5', '3']","['6', '2', '9', '2']","['2', '5', '5', '5']","['6', '8', '2', '7']","['9', '7', '1', '7']"
5763,10/05/2023,"['5', '2', '6', '1']","['9', '5', '1', '2']","['7', '2', '5', '8']","['8', '2', '3', '9']","['2', '0', '4', '0']"
5762,06/05/2023,"['5', '0', '3', '0']","['5', '7', '7', '7']","['0', '8', '4', '1']","['8', '9', '6', '4']","['8', '6', '7', '8']"
5761,03/05/2023,"['8', '2', '5', '0']","['9', '7', '6', '2']","['6', '7', '3', '4']","['5', '8', '0', '2']","['1', '1', '4', '3']"
5760,29/04/2023,"['0', '1', '7', '7']","['9', '4', '0', '0']","['1', '2', '5', '0']","['7', '9', '7', '8']","['2', '5', '8', '2']"
5759,26/04/2023,"['0', '5', '8', '7']","['8', '0', '9', '6']","['9', '6', '3', '2']","['9', '2', '5', '0']","['5', '5', '9', '4']"
5758,22/04/2023,"['8', '0', '0', '5']","['9', '3', '5', '0']","['0', '2', '2', '0']","['7', '2', '3', '3']","['2', '6', '4', '3']"
5757,19/04/2023,"['4', '1', '2', '5']","['1', '6', '5', '3']","['0', '3', '6', '7']","['5', '0', '0', '2']","['0', '2', '0', '0']"
5756,15/04/2023,"['6', '0', '7', '4']","['1', '8', '7', '0']","['8', '6', '4', '3']","['8', '9', '9', '2']","['7', '4', '3', '4']"
5755,12/04/2023,"['0', '0', '1', '3']","['3', '0', '3', '8']","['8', '0', '2', '0']","['2', '5', '3', '8']","['4', '8', '1', '3']"
5754,08/04/2023,"['1', '8', '0', '2']","['8', '0', '4', '1']","['5', '2', '4', '5']","['8', '4', '6', '8']","['9', '6', '5', '4']"
5753,05/04/2023,"['0', '9', '2', '9']","['0', '4', '9', '5']","['8', '4', '3', '1']","['9', '8', '2', '1']","['9', '1', '6', '4']"
5752,01/04/2023,"['6', '3', '7', '9']","['8', '7', '9', '2']","['9', '3', '0', '5']","['3', '0', '7', '0']","['9', '9', '1', '8']"
5751,29/03/2023,"['7', '3', '5', '3']","['9', '6', '8', '6']","['1', '6', '0', '8']","['2', '3', '9', '4']","['3', '1', '7', '3']"
5750,25/03/2023,"['2', '1', '3', '4']","['8', '4', '1', '2']","['8', '2', '9', '5']","['4', '2', '9', '9']","['3', '7', '2', '6']"
5749,22/03/2023,"['0', '2', '5', '8']","['8', '7', '5', '5']","['1', '3', '7', '6']","['4', '7', '2', '4']","['1', '7', '5', '3']"
5748,18/03/2023,"['5', '8', '5', '0']","['1', '8', '0', '7']","['4', '9', '1', '9']","['6', '9', '8', '0']","['7', '9', '2', '2']"
5747,15/03/2023,"['4', '4', '5', '6']","['5', '1', '4', '5']","['9', '9', '1', '8']","['1', '3', '6', '5']","['6', '8', '5', '0']"
5746,11/03/2023,"['9', '0', '1', '1']","['2', '7', '6', '2']","['6', '0', '8', '7']","['7', '5', '6', '9']","['7', '0', '7', '3']"
5745,08/03/2023,"['2', '7', '8', '3']","['4', '5', '7', '2']","['0', '9', '1', '5']","['5', '7', '9', '6']","['3', '1', '5', '2']"
5744,04/03/2023,"['7', '1', '1', '8']","['5', '9', '4', '2']","['1', '1', '0', '5']","['8', '4', '7', '7']","['2', '7', '6', '7']"
5743,01/03/2023,"['6', '2', '7', '5']","['0', '4', '6', '7']","['9', '2', '4', '0']","['9', '5', '6', '7']","['6', '3', '5', '0']"
5742,25/02/2023,"['5', '2', '7', '3']","['2', '6', '1', '9']","['7', '9', '3', '8']","['7', '8', '8', '7']","['5', '4', '4', '1']"
5741,18/02/2023,"['8', '8', '6', '9']","['1', '3', '5', '7']","['3', '1', '4', '4']","['6', '0', '2', '0']","['7', '3', '9', '9']"
5740,15/02/2023,"['2', '2', '6', '8']","['0', '5', '6', '7']","['3', '4', '1', '0']","['1', '4', '2', '7']","['7', '2', '5', '6']"
5739,11/02/2023,"['9', '1', '8', '6']","['7', '1', '2', '3']","['4', '8', '2', '1']","['4', '0', '0', '2']","['9', '0', '8', '5']"
5738,08/02/2023,"['7', '0', '8', '1']","['7', '8', '4', '6']","['1', '9', '0', '7']","['3', '2', '6', '7']","['7', '2', '3', '1']"
5737,04/02/2023,"['0', '4', '6', '0']","['0', '0', '1', '1']","['9', '9', '6', '3']","['4', '0', '6', '1']","['3', '4', '9', '1']"
5736,01/02/2023,"['9', '9', '4', '2']","['4', '1', '0', '4']","['0', '6', '3', '0']","['0', '6', '7', '2']","['6', '7', '6', '0']"
5735,28/01/2023,"['3', '8', '4', '7']","['9', '0', '8', '1']","['0', '1', '9', '6']","['9', '3', '5', '3']","['0', '2', '2', '3']"
5734,25/01/2023,"['4', '2', '4', '8']","['9', '2', '1', '0']","['8', '1', '4', '1']","['6', '7', '2', '4']","['1', '0', '0', '6']"
5733,21/01/2023,"['2', '1', '1', '0']","['7', '3', '5', '3']","['1', '2', '9', '0']","['5', '2', '5', '7']","['0', '5', '1', '3']"
5732,18/01/2023,"['0', '3', '6', '6']","['3', '5', '1', '4']","['5', '5', '0', '4']","['4', '3', '6', '5']","['1', '1', '0', '5']"
5731,14/01/2023,"['7', '0', '0', '5']","['4', '0', '4', '4']","['3', '9', '4', '8']","['4', '7', '6', '9']","['1', '6', '3', '4']"
5730,11/01/2023,"['0', '0', '7', '1']","['1', '2', '9', '1']","['7', '4', '2', '7']","['5', '0', '1', '2']","['2', '6', '5', '0']"
5729,07/01/2023,"['2', '2', '8', '9']","['1', '7', '0', '1']","['6', '8', '7', '1']","['7', '0', '4', '6']","['9', '0', '1', '8']"
5728,04/01/2023,"['9', '9', '8', '5']","['9', '5', '9', '8']","['2', '5', '9', '6']","['3', '3', '4', '7']","['6', '8', '5', '2']"
5727,31/12/2022,"['8', '5', '2', '4']","['8', '3', '7', '5']","['5', '0', '2', '5']","['7', '5', '6', '1']","['0', '2', '9', '5']"
5726,24/12/2022,"['2', '6', '5', '4']","['8', '3', '0', '6']","['0', '5', '9', '3']","['9', '7', '1', '8']","['6', '9', '5', '1']"
5725,17/12/2022,"['8', '6', '5', '7']","['1', '1', '4', '0']","['1', '4', '4', '5']","['0', '8', '1', '8']","['0', '4', '6', '7']"
5724,14/12/2022,"['7', '1', '4', '5']","['2', '0', '0', '6']","['5', '5', '8', '8']","['5', '4', '9', '7']","['0', '6', '1', '2']"
5723,10/11/2022,"['4', '7', '0', '0']","['6', '7', '5', '3']","['5', '2', '1', '6']","['6', '6', '7', '1']","['6', '6', '4', '0']"
5722,07/12/2022,"['3', '4', '6', '8']","['1', '6', '7', '7']","['6', '2', '0', '9']","['7', '7', '2', '2']","['1', '7', '0', '3']"
5721,03/12/2022,"['3', '6', '2', '2']","['2', '3', '4', '5']","['9', '0', '9', '3']","['7', '5', '3', '9']","['2', '4', '8', '8']"
5720,30/11/2022,"['0', '5', '0', '2']","['5', '7', '3', '5']","['8', '5', '1', '9']","['8', '3', '3', '1']","['6', '6', '2', '4']"
5719,26/11/2022,"['7', '6', '4', '7']","['3', '0', '1', '2']","['9', '9', '5', '9']","['6', '6', '4', '7']","['1', '2', '8', '9']"
5718,23/11/2022,"['2', '2', '0', '7']","['5', '6', '2', '4']","['9', '9', '6', '3']","['9', '2', '2', '1']","['2', '3', '4', '9']"
5717,19/11/2022,"['5', '9', '4', '9']","['5', '6', '1', '9']","['3', '0', '9', '9']","['6', '4', '2', '0']","['7', '2', '9', '2']"
5716,16/11/2022,"['5', '8', '3', '8']","['1', '8', '6', '5']","['9', '5', '9', '0']","['9', '8', '6', '7']","['8', '8', '1', '6']"
5715,12/11/2022,"['9', '3', '3', '1']","['0', '7', '3', '7']","['1', '3', '4', '0']","['0', '3', '8', '2']","['2', '8', '1', '0']"
5714,09/11/2022,"['6', '4', '4', '0']","['2', '2', '9', '1']","['3', '9', '5', '3']","['2', '8', '7', '9']","['2', '5', '4', '9']"
5713,05/11/2022,"['8', '2', '3', '9']","['2', '7', '6', '8']","['9', '4', '4', '2']","['3', '5', '2', '4']","['0', '3', '6', '8']"
5712,03/11/2022,"['5', '6', '7', '2']","['6', '3', '4', '4']","['3', '2', '0', '5']","['2', '2', '5', '3']","['9', '9', '2', '4']"
5711,29/10/2022,"['6', '3', '3', '9']","['0', '9', '1', '3']","['3', '1', '9', '2']","['5', '7', '9', '9']","['1', '2', '0', '1']"
5710,26/10/2022,"['8', '6', '2', '0']","['8', '9', '7', '2']","['6', '6', '0', '8']","['7', '8', '6', '8']","['5', '6', '9', '6']"
5709,22/10/2022,"['5', '8', '9', '4']","['4', '0', '6', '4']","['2', '6', '3', '6']","['3', '6', '5', '3']","['7', '2', '5', '8']"
5708,19/10/2022,"['7', '9', '9', '0']","['6', '6', '7', '5']","['9', '9', '6', '6']","['9', '3', '9', '6']","['5', '6', '1', '9']"
5707,15/10/2022,"['8', '3', '8', '6']","['1', '2', '6', '7']","['7', '7', '2', '3']","['3', '6', '9', '5']","['5', '5', '9', '0']"
5706,13/10/2022,"['0', '2', '2', '2']","['6', '1', '2', '7']","['8', '2', '8', '1']","['2', '4', '6', '2']","['8', '4', '3', '9']"
5705,08/10/2022,"['6', '9', '4', '9']","['1', '8', '7', '8']","['3', '2', '8', '4']","['4', '5', '4', '7']","['7', '3', '3', '1']"
5704,05/10/2022,"['3', '0', '7', '0']","['2', '1', '2', '7']","['4', '5', '4', '2']","['0', '0', '0', '2']","['7', '0', '9', '8']"
5703,01/10/2022,"['0', '4', '2', '0']","['7', '1', '3', '3']","['1', '3', '9', '3']","['1', '8', '0', '1']","['9', '1', '0', '4']"
5702,28/09/2022,"['5', '7', '2', '1']","['3', '4', '7', '9']","['1', '6', '0', '2']","['7', '5', '4', '7']","['2', '0', '5', '4']"
5701,24/09/2022,"['0', '7', '9', '9']","['5', '9', '6', '2']","['4', '5', '7', '5']","['8', '3', '7', '9']","['2', '9', '8', '5']"
5700,21/09/2022,"['7', '2', '4', '2']","['9', '3', '5', '4']","['0', '4', '3', '8']","['8', '6', '1', '0']","['8', '6', '5', '2']"
5699,17/09/2022,"['9', '6', '4', '5']","['5', '4', '1', '1']","['7', '4', '7', '4']","['3', '1', '4', '7']","['0', '4', '1', '8']"
5698,14/09/2022,"['0', '1', '8', '8']","['7', '2', '4', '3']","['6', '8', '9', '6']","['9', '5', '3', '5']","['4', '3', '3', '5']"
5697,10/09/2022,"['7', '7', '3', '0']","['1', '2', '1', '5']","['7', '3', '6', '4']","['0', '4', '1', '3']","['6', '6', '6', '7']"
5696,08/09/2022,"['2', '0', '6', '9']","['9', '0', '2', '8']","['0', '9', '7', '3']","['7', '6', '9', '7']","['8', '0', '6', '5']"
5695,03/09/2022,"['1', '2', '7', '1']","['0', '4', '6', '3']","['6', '4', '5', '0']","['7', '4', '2', '6']","['8', '9', '2', '8']"
5694,31/08/2022,"['7', '0', '8', '2']","['5', '0', '3', '5']","['1', '2', '5', '5']","['5', '2', '3', '8']","['1', '1', '9', '0']"
5693,27/08/2022,"['5', '2', '7', '4']","['4', '1', '7', '6']","['6', '6', '7', '6']","['7', '4', '3', '3']","['7', '9', '1', '0']"
5692,24/08/2022,"['9', '2', '0', '5']","['8', '1', '7', '4']","['3', '6', '3', '1']","['8', '6', '8', '1']","['6', '0', '7', '9']"
5691,20/08/2022,"['3', '4', '9', '9']","['9', '6', '4', '3']","['9', '2', '7', '3']","['9', '1', '7', '6']","['3', '6', '5', '6']"
5690,17/08/2022,"['5', '4', '2', '6']","['6', '7', '5', '4']","['2', '3', '4', '8']","['3', '7', '5', '2']","['0', '6', '6', '8']"
5689,13/08/2022,"['3', '1', '7', '9']","['8', '3', '3', '6']","['0', '8', '8', '8']","['4', '6', '1', '5']","['1', '2', '9', '3']"
5688,10/08/2022,"['6', '0', '3', '6']","['9', '5', '0', '7']","['0', '9', '7', '6']","['3', '2', '9', '9']","['3', '2', '1', '9']"
5687,06/08/2022,"['9', '9', '2', '0']","['2', '5', '8', '6']","['5', '8', '1', '0']","['1', '0', '0', '7']","['1', '3', '5', '4']"
5686,03/08/2022,"['2', '0', '5', '5']","['7', '7', '1', '9']","['5', '4', '0', '4']","['3', '2', '5', '2']","['6', '7', '2', '2']"
5685,30/07/2022,"['9', '7', '9', '2']","['6', '6', '6', '8']","['7', '4', '0', '3']","['6', '3', '9', '4']","['9', '5', '9', '4']"
5684,27/07/2022,"['7', '8', '2', '1']","['3', '6', '6', '4']","['3', '1', '7', '7']","['9', '6', '2', '8']","['4', '2', '4', '6']"
5683,23/07/2022,"['3', '0', '2', '1']","['9', '3', '7', '6']","['3', '8', '6', '7']","['9', '5', '3', '7']","['6', '4', '6', '4']"
5682,20/07/2022,"['4', '1', '3', '3']","['2', '2', '3', '0']","['7', '0', '4', '3']","['5', '6', '7', '7']","['4', '0', '4', '1']"
5681,16/07/2022,"['7', '8', '4', '4']","['7', '8', '8', '9']","['9', '0', '1', '4']","['6', '5', '4', '5']","['8', '1', '1', '7']"
5680,13/07/2022,"['6', '9', '5', '7']","['3', '8', '1', '2']","['8', '5', '0', '7']","['5', '3', '7', '5']","['9', '7', '0', '1']"
5679,09/07/2022,"['4', '0', '3', '6']","['7', '5', '4', '4']","['3', '9', '9', '0']","['7', '8', '7', '4']","['0', '8', '9', '1']"
5678,06/07/2022,"['0', '3', '5', '5']","['8', '3', '3', '2']","['2', '3', '5', '7']","['4', '0', '1', '2']","['8', '2', '9', '6']"
5677,02/07/2022,"['6', '6', '4', '5']","['5', '1', '8', '8']","['4', '0', '8', '4']","['8', '2', '7', '3']","['4', '0', '2', '0']"
5676,29/06/2022,"['9', '0', '2', '8']","['9', '4', '4', '0']","['0', '3', '9', '3']","['6', '5', '5', '0']","['5', '1', '9', '5']"
5675,25/06/2022,"['3', '9', '3', '0']","['5', '0', '7', '1']","['3', '8', '4', '0']","['5', '9', '7', '7']","['9', '7', '0', '7']"
5674,22/06/2022,"['8', '7', '5', '3']","['3', '7', '0', '0']","['5', '0', '5', '0']","['8', '1', '2', '1']","['2', '6', '6', '2']"
5673,18/06/2022,"['7', '3', '2', '5']","['2', '3', '6', '0']","['3', '7', '0', '6']","['5', '2', '6', '6']","['3', '8', '9', '7']"
5672,15/06/2022,"['9', '4', '1', '3']","['0', '2', '2', '9']","['3', '5', '8', '1']","['4', '7', '2', '4']","['0', '8', '1', '8']"
5671,11/06/2022,"['5', '9', '0', '1']","['8', '3', '5', '7']","['6', '7', '7', '4']","['9', '9', '8', '3']","['8', '8', '4', '5']"
5670,08/06/2022,"['1', '8', '4', '9']","['5', '8', '3', '0']","['0', '9', '7', '9']","['8', '0', '1', '3']","['4', '3', '3', '2']"
5669,04/06/2022,"['7', '6', '7', '8']","['8', '5', '0', '5']","['7', '2', '7', '4']","['0', '3', '0', '3']","['0', '2', '9', '1']"
5668,01/06/2022,"['0', '3', '6', '6']","['9', '1', '6', '7']","['6', '7', '4', '5']","['7', '9', '1', '6']","['2', '2', '3', '5']"
5667,28/05/2022,"['9', '0', '0', '9']","['4', '3', '1', '6']","['1', '0', '3', '1']","['3', '8', '9', '9']","['8', '7', '4', '8']"
5666,25/02/2022,"['7', '8', '1', '8']","['2', '5', '9', '4']","['0', '5', '9', '5']","['9', '9', '8', '5']","['8', '2', '4', '5']"
5665,21/05/2022,"['8', '7', '4', '8']","['0', '3', '9', '0']","['8', '9', '2', '6']","['5', '1', '5', '2']","['9', '9', '0', '8']"
5664,18/05/2022,"['0', '2', '7', '9']","['1', '0', '5', '7']","['4', '2', '3', '4']","['8', '5', '9', '7']","['8', '1', '8', '2']"
5663,14/05/2022,"['2', '6', '0', '0']","['3', '1', '5', '9']","['5', '5', '8', '7']","['0', '2', '5', '1']","['3', '2', '5', '6']"
5661,07/05/2022,"['8', '6', '7', '2']","['3', '0', '7', '7']","['9', '3', '6', '9']","['9', '0', '1', '9']","['5', '4', '8', '3']"
5660,04/05/2022,"['7', '1', '9', '9']","['3', '8', '9', '7']","['7', '3', '5', '0']","['9', '3', '8', '1']","['6', '2', '1', '5']"
5659,30/04/2022,"['7', '6', '1', '3']","['9', '3', '8', '2']","['5', '6', '3', '9']","['9', '8', '8', '4']","['7', '0', '9', '5']"
5658,27/04/2022,"['3', '1', '6', '9']","['9', '0', '9', '0']","['1', '3', '8', '2']","['6', '3', '2', '1']","['6', '1', '5', '7']"
5657,23/04/2022,"['8', '0', '6', '4']","['6', '5', '6', '6']","['6', '7', '4', '6']","['6', '5', '2', '3']","['3', '1', '5', '6']"
5656,20/04/2022,"['1', '8', '2', '0']","['8', '9', '0', '6']","['6', '5', '7', '9']","['1', '1', '7', '1']","['3', '6', '8', '7']"
5655,16/04/2022,"['0', '8', '7', '1']","['4', '3', '2', '7']","['5', '0', '7', '0']","['4', '7', '0', '1']","['3', '0', '8', '5']"
5654,13/04/2022,"['4', '7', '9', '8']","['7', '5', '6', '3']","['9', '5', '2', '0']","['2', '4', '7', '0']","['3', '4', '9', '3']"
5653,09/04/2022,"['4', '8', '0', '5']","['2', '0', '3', '2']","['9', '3', '5', '9']","['1', '7', '4', '2']","['3', '1', '4', '7']"
5652,06/04/2022,"['6', '4', '9', '7']","['4', '3', '0', '2']","['9', '5', '7', '7']","['8', '8', '5', '2']","['8', '4', '1', '3']"
5651,02/04/2022,"['8', '2', '0', '5']","['3', '6', '9', '8']","['9', '2', '3', '7']","['4', '6', '0', '1']","['1', '9', '6', '2']"
5650,30/03/2022,"['2', '4', '6', '3']","['5', '3', '9', '5']","['6', '5', '0', '7']","['3', '2', '7', '9']","['6', '2', '2', '3']"
5649,26/03/2022,"['6', '5', '4', '2']","['8', '7', '8', '5']","['5', '2', '2', '9']","['9', '3', '8', '5']","['7', '8', '8', '2']"
5648,23/03/2022,"['9', '5', '9', '8']","['6', '6', '7', '8']","['0', '1', '9', '1']","['3', '7', '4', '1']","['1', '8', '4', '8']"
5647,19/03/2022,"['2', '0', '5', '1']","['9', '6', '7', '4']","['5', '9', '9', '8']","['1', '1', '6', '3']","['6', '9', '9', '0']"
5646,16/03/2022,"['2', '4', '1', '5']","['5', '8', '3', '8']","['3', '7', '9', '9']","['4', '3', '8', '7']","['9', '4', '1', '4']"
5645,12/03/2022,"['8', '6', '7', '6']","['9', '3', '7', '4']","['3', '2', '5', '1']","['0', '4', '0', '7']","['7', '5', '1', '7']"
5644,09/03/2022,"['8', '4', '0', '4']","['6', '3', '6', '6']","['0', '9', '8', '8']","['7', '8', '7', '8']","['0', '0', '6', '8']"
5643,05/03/2022,"['7', '2', '5', '6']","['3', '5', '0', '4']","['4', '6', '9', '7']","['7', '7', '1', '6']","['3', '5', '2', '7']"
5642,26/02/2022,"['1', '9', '7', '3']","['0', '1', '5', '5']","['5', '8', '1', '0']","['7', '7', '5', '6']","['2', '4', '8', '4']"
5641,23/02/2022,"['8', '5', '2', '4']","['7', '3', '0', '0']","['1', '8', '7', '9']","['6', '1', '7', '9']","['4', '9', '3', '5']"
5640,19/02/2022,"['2', '6', '4', '6']","['9', '3', '1', '2']","['9', '0', '4', '4']","['2', '2', '7', '1']","['7', '1', '5', '9']"
5639,16/02/2022,"['9', '0', '0', '5']","['8', '3', '5', '1']","['8', '2', '1', '8']","['5', '1', '1', '3']","['0', '0', '5', '0']"
5638,12/02/2022,"['7', '9', '5', '1']","['2', '1', '0', '6']","['8', '8', '5', '5']","['4', '6', '2', '5']","['9', '2', '6', '5']"
5637,09/02/2022,"['3', '9', '9', '2']","['8', '5', '6', '9']","['2', '2', '7', '0']","['2', '7', '9', '6']","['0', '2', '9', '8']"
5636,05/02/2023,"['1', '2', '2', '6']","['9', '8', '4', '7']","['2', '9', '0', '0']","['4', '4', '5', '0']","['7', '7', '4', '4']"
5635,02/02/2022,"['9', '2', '6', '0']","['6', '1', '2', '0']","['5', '9', '5', '0']","['0', '8', '9', '2']","['6', '3', '0', '7']"
5634,29/01/2022,"['8', '1', '0', '7']","['8', '1', '5', '7']","['4', '9', '9', '4']","['9', '0', '9', '4']","['9', '8', '4', '1']"
5633,26/01/2022,"['6', '9', '1', '5']","['0', '0', '0', '5']","['5', '7', '4', '1']","['3', '8', '6', '0']","['2', '0', '9', '6']"
5632,22/01/2022,"['5', '9', '8', '7']","['9', '2', '6', '6']","['9', '1', '8', '9']","['0', '2', '7', '4']","['4', '6', '0', '0']"
5631,19/01/2022,"['5', '1', '4', '6']","['4', '9', '8', '7']","['2', '8', '6', '8']","['5', '2', '4', '8']","['7', '7', '7', '1']"
5630,15/01/2022,"['2', '2', '5', '5']","['2', '5', '2', '3']","['7', '7', '8', '2']","['5', '9', '5', '3']","['0', '0', '3', '7']"
5629,12/01/2022,"['4', '2', '4', '1']","['5', '6', '0', '9']","['0', '2', '2', '6']","['9', '0', '4', '8']","['5', '2', '7', '3']"
5628,08/01/2022,"['9', '2', '1', '0']","['8', '0', '4', '0']","['8', '7', '5', '7']","['2', '2', '6', '3']","['8', '0', '8', '0']"
5627,05/01/2022,"['2', '3', '3', '5']","['2', '5', '2', '3']","['7', '7', '8', '2']","['5', '9', '5', '3']","['0', '0', '3', '7']"
